USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
MN	2740860	Upsala Public School District	PK	12	175643769	2422935	      67.816	       0.936	 45.824641	 -94.529527                                                                                       
MN	2740920	Verndale Public School District	PK	12	271702236	0	     104.905	       0.000	 46.436156	 -94.963827                                                                                           
MN	2741040	Virginia Public School District	PK	12	392378929	13979594	     151.498	       5.398	 47.624001	 -92.523197                                                                                    
MN	2741060	Wabasha-Kellogg Public School District	PK	12	321815328	35252099	     124.254	      13.611	 44.312828	 -92.030902                                                                             
MN	2741430	Wabasso Public School District	PK	12	549650016	1702955	     212.221	       0.658	 44.421185	 -95.300484                                                                                      
MN	2741460	Waconia Public School District	PK	12	232341878	28309572	      89.708	      10.930	 44.848635	 -93.799775                                                                                     
MN	2741850	Warroad Public School District	PK	12	1198779275	1221753537	     462.851	     471.722	 48.973930	 -95.029336                                                                                  
MN	2741880	Waseca Public School District	PK	12	394186984	7278905	     152.196	       2.810	 44.078809	 -93.518910                                                                                       
MN	2741910	Watertown-Mayer Public School District	PK	12	248293431	8299232	      95.867	       3.204	 44.943821	 -93.882960                                                                              
MN	2742120	Waubun-Ogema-White Earth Public Schools	PK	12	961672593	73653352	     371.304	      28.438	 47.126780	 -95.787113                                                                            
MN	2742160	Wayzata Public School District	KG	12	103819478	7382344	      40.085	       2.850	 45.010205	 -93.499106                                                                                      
MN	2742270	West St. Paul-Mendota Heights-Eagan	PK	12	63588612	5926627	      24.552	       2.288	 44.873609	 -93.141291                                                                                  
MN	2742330	Wheaton Area Public School District	KG	12	739232766	11110093	     285.419	       4.290	 45.803863	 -96.457820                                                                                
MN	2742360	White Bear Lake School District	KG	12	100127681	18879480	      38.660	       7.289	 45.101345	 -93.024779                                                                                    
MN	2742720	Willmar Public School District	KG	12	525307955	43997965	     202.823	      16.988	 45.087666	 -95.023676                                                                                     
MN	2742750	Willow River Public School District	PK	12	570115769	9693668	     220.123	       3.743	 46.328209	 -92.901354                                                                                 
MN	2742780	Windom Public School District	PK	12	515727751	10587378	     199.124	       4.088	 43.879136	 -95.144317                                                                                      
MN	2744070	Winona Area Public School District	KG	12	653348029	44410380	     252.259	      17.147	 43.989314	 -91.663040                                                                                 
MN	2744160	Worthington Public School District	PK	12	672095578	11674021	     259.498	       4.507	 43.641579	 -95.659736                                                                                 
MN	2744190	Wrenshall Public School District	PK	12	321620734	732851	     124.178	       0.283	 46.519010	 -92.343703                                                                                     
MN	2745735	Zumbrota-Mazeppa School District	PK	12	356299209	1758535	     137.568	       0.679	 44.289631	 -92.586249                                                                                    
MN	2791445	Lake Crystal-Wellcome Memorial	PK	12	578895430	12977491	     223.513	       5.011	 44.084698	 -94.195056                                                                                     
MN	2791446	Tri-County School District	PK	12	1155474412	11843510	     446.131	       4.573	 48.613365	 -96.535060                                                                                        
MN	2791447	Kittson Central School District	PK	12	1211243657	5690064	     467.664	       2.197	 48.751046	 -96.983275                                                                                    
MN	2791448	Norman County West School District	PK	12	511761110	3111198	     197.592	       1.201	 47.320977	 -96.764587                                                                                  
MN	2791449	Win-E-Mac School District	PK	12	742109826	25947004	     286.530	      10.018	 47.667968	 -95.993074                                                                                          
MN	2791450	Mesabi East School District	PK	12	987760014	44637766	     381.376	      17.235	 47.422682	 -92.192137                                                                                        
MN	2791451	Janesville-Waldorf-Pemberton	PK	12	503196921	18245460	     194.285	       7.045	 44.028136	 -93.722423                                                                                       
MN	2799997	School District Not Defined	PK	12	18503138	940803	       7.144	       0.363	 44.879320	 -93.225272                                                                                           
MS	2800360	Aberdeen School District	PK	12	557125859	4010710	     215.108	       1.549	 33.803174	 -88.607157                                                                                            
MS	2800390	Alcorn School District	PK	12	957116246	3045454	     369.545	       1.176	 34.870381	 -88.590176                                                                                              
MS	2800420	Amite County School District	KG	12	1890950833	3877823	     730.100	       1.497	 31.203933	 -90.795542                                                                                       
MS	2800450	Amory School District	PK	12	199262004	3467445	      76.935	       1.339	 33.975333	 -88.564405                                                                                               
MS	2800510	Attala County School District	PK	12	1507495180	3351913	     582.047	       1.294	 33.185575	 -89.472561                                                                                      
MS	2800540	Baldwyn School District	KG	12	170372233	282590	      65.781	       0.109	 34.515977	 -88.649038                                                                                              
MS	2800570	Bay St. Louis School District	KG	12	48643696	30671906	      18.781	      11.842	 30.308124	 -89.354171                                                                                       
MS	2800600	Benton County School District	PK	12	1053131400	5279183	     406.616	       2.038	 34.810518	 -89.200285                                                                                      
MS	2800630	Biloxi Public School District	PK	12	49788166	16337479	      19.223	       6.308	 30.412216	 -88.940948                                                                                       
MS	2800660	West Bolivar School District	KG	12	601160298	39228685	     232.109	      15.146	 33.872974	 -90.930898                                                                                       
MS	2800690	Benoit School District	PK	12	537917627	26871731	     207.691	      10.375	 33.635653	 -91.038044                                                                                             
MS	2800720	North Bolivar School District	PK	12	399364417	4063110	     154.195	       1.569	 34.020819	 -90.768494                                                                                       
MS	2800750	Cleveland School District	PK	12	278308319	4035478	     107.455	       1.558	 33.758855	 -90.725595                                                                                           
MS	2800780	Shaw School District	KG	12	318825256	997652	     123.099	       0.385	 33.619078	 -90.825371                                                                                                 
MS	2800810	Mound Bayou Public School	KG	12	134738870	545481	      52.023	       0.211	 33.888886	 -90.760923                                                                                            
MS	2800820	Booneville School District	KG	12	17840752	50138	       6.888	       0.019	 34.657604	 -88.562663                                                                                             
MS	2800840	Brookhaven School District	PK	12	388803744	1912502	     150.118	       0.738	 31.571004	 -90.394792                                                                                          
MS	2800870	Calhoun County School District	PK	12	1519218200	3590395	     586.573	       1.386	 33.936634	 -89.337114                                                                                     
MS	2800900	Canton Public School District	PK	12	486244814	10680527	     187.740	       4.124	 32.625130	 -90.059757                                                                                      
MS	2800930	Carroll County School District	KG	12	1627140838	16426880	     628.243	       6.342	 33.440795	 -89.918887                                                                                    
MS	2800960	Chickasaw County School District	PK	12	308351378	3043372	     119.055	       1.175	 34.021690	 -88.999048                                                                                    
MS	2800990	Choctaw County School District	PK	12	1083088569	4331852	     418.183	       1.673	 33.345964	 -89.251332                                                                                     
MS	2801020	Claiborne County School District	PK	12	1262400025	35711133	     487.415	      13.788	 31.972810	 -90.915424                                                                                  
MS	2801050	Clarksdale Municipal School District	PK	12	35968206	16607	      13.887	       0.006	 34.197502	 -90.573055                                                                                   
MS	2801080	Clay County School District	PK	12	443540568	1128116	     171.252	       0.436	 33.671796	 -88.921676                                                                                         
MS	2801090	Clinton Public School District	PK	12	346808190	2014154	     133.903	       0.778	 32.407754	 -90.372441                                                                                      
MS	2801110	Coahoma County School District	PK	12	1394850184	79522853	     538.555	      30.704	 34.230316	 -90.604010                                                                                    
MS	2801140	Coffeeville School District	PK	12	870821685	55946737	     336.226	      21.601	 33.992800	 -89.732440                                                                                        
MS	2801170	Columbia School District	PK	12	171573523	3611521	      66.245	       1.394	 31.313043	 -89.833525                                                                                            
MS	2801200	Columbus Municipal School District	PK	12	170554842	9709560	      65.852	       3.749	 33.540866	 -88.426817                                                                                  
MS	2801220	Copiah County School District	KG	12	1157504107	4085401	     446.915	       1.577	 31.964141	 -90.268163                                                                                      
MS	2801260	Corinth School District	PK	12	78984349	372437	      30.496	       0.144	 34.946855	 -88.515134                                                                                               
MS	2801290	Covington County School District	PK	12	1071727825	2937796	     413.796	       1.134	 31.633331	 -89.548897                                                                                   
MS	2801320	DeSoto County School District	PK	12	1233556702	53624068	     476.279	      20.704	 34.874266	 -89.993240                                                                                     
MS	2801360	Durant Public School District	KG	12	5800933	61106	       2.240	       0.024	 33.081948	 -89.857335                                                                                           
MS	2801380	East Jasper School District	PK	12	855508237	1564640	     330.314	       0.604	 32.012740	 -88.996552                                                                                         
MS	2801410	East Tallahatchie School District	KG	12	952346485	8119595	     367.703	       3.135	 33.967418	 -90.064478                                                                                   
MS	2801440	Enterprise School District	PK	12	467096126	1355218	     180.347	       0.523	 32.183159	 -88.698311                                                                                          
MS	2801470	Forest Municipal School District	PK	12	232432454	397165	      89.743	       0.153	 32.346030	 -89.495307                                                                                     
MS	2801490	Forrest County Schools	PK	12	904180935	6137117	     349.106	       2.370	 31.135505	 -89.267637                                                                                              
MS	2801530	Franklin County School District	PK	12	1460181276	7728324	     563.779	       2.984	 31.477776	 -90.895811                                                                                    
MS	2801560	George County School District	KG	12	1239817243	12838126	     478.696	       4.957	 30.855431	 -88.642268                                                                                     
MS	2801590	Greene County School District	PK	12	1846034019	15380474	     712.758	       5.938	 31.212845	 -88.634811                                                                                     
MS	2801620	Greenville Public School District	PK	12	98364167	18016063	      37.979	       6.956	 33.418886	 -91.131823                                                                                   
MS	2801650	Greenwood Public School District	KG	12	26362549	798778	      10.179	       0.308	 33.519217	 -90.188565                                                                                      
MS	2801680	Grenada School District	KG	12	1093252414	70698246	     422.107	      27.297	 33.770031	 -89.802740                                                                                           
MS	2801710	Gulfport School District	PK	12	58388409	18631035	      22.544	       7.193	 30.386093	 -89.067688                                                                                            
MS	2801740	Hancock County School District	PK	12	1022206881	172503227	     394.676	      66.604	 30.394256	 -89.456794                                                                                   
MS	2801770	Harrison County School District	PK	12	1188039896	982780788	     458.705	     379.454	 30.549074	 -89.207099                                                                                  
MS	2801800	Hattiesburg Public School District	KG	12	62607504	1664924	      24.173	       0.643	 31.312150	 -89.305772                                                                                   
MS	2801830	Hazlehurst City School District	PK	12	855544459	1669585	     330.328	       0.645	 31.861863	 -90.499217                                                                                     
MS	2801860	Hinds County School District	PK	12	1636317183	11778863	     631.786	       4.548	 32.228055	 -90.497726                                                                                      
MS	2801890	Hollandale School District	KG	12	494084918	10554117	     190.767	       4.075	 33.197677	 -90.824793                                                                                         
