0100001,Fort Rucker School District KG,31.405967,-85.744807
0100003,Maxwell AFB School District KG,32.382440,-86.363389
0100005,Albertville City School District KG,34.263130,-86.210660
0100006,Marshall County School District KG,34.369332,-86.341829
0100007,Hoover City School District KG,33.376949,-86.805579
0100008,Madison City School District KG,34.710533,-86.762280
0100011,Leeds City School District KG,33.541333,-86.562058
0100012,Boaz City School District KG,34.199020,-86.155151
0100013,Trussville City School District KG,33.637959,-86.584047
0100030,Alexander City City School District KG,32.869022,-85.951083
0100060,Andalusia City School District KG,31.309436,-86.478031
0100090,Anniston City School District KG,33.673440,-85.810918
0100100,Arab City School District KG,34.330328,-86.500771
0100120,Athens City School District KG,34.778334,-86.949534
0100180,Attalla City School District KG,33.986189,-86.121037
0100185,Saraland City School District PK,30.831585,-88.094117
0100210,Auburn City School District KG,32.607722,-85.489545
0100240,Autauga County School District KG,32.536382,-86.644490
0100270,Baldwin County School District KG,30.659218,-87.746067
0100300,Barbour County School District KG,31.870670,-85.405456
0100330,Bessemer City School District KG,33.370824,-86.971504
0100360,Bibb County School District KG,33.015893,-87.127148
0100390,Birmingham City School District KG,33.527444,-86.799047
0100420,Blount County School District KG,33.979338,-86.570938
0100450,Brewton City School District KG,31.109175,-87.076583
0100480,Bullock County School District KG,32.101759,-85.717261
0100510,Butler County School District KG,31.751667,-86.681969
0100540,Calhoun County School District KG,33.779208,-85.842799
0100600,Chambers County School District KG,32.917943,-85.391812
0100630,Cherokee County School District KG,34.176127,-85.618196
0100660,Chilton County School District KG,32.854059,-86.726627
0100690,Choctaw County School District KG,31.991008,-88.248887
0100720,Clarke County School District KG,31.664940,-87.828087
0100750,Clay County School District KG,33.267809,-85.862051
0100780,Cleburne County School District KG,33.651152,-85.524151
0100810,Coffee County School District KG,31.394989,-85.986300
0100840,Colbert County School District KG,34.704012,-87.813037
0100870,Conecuh County School District KG,31.428292,-86.992029
0100900,Coosa County School District KG,32.931445,-86.243482
0100930,Covington County School District KG,31.245364,-86.455382
0100960,Crenshaw County School District KG,31.732826,-86.319222
0100990,Cullman City School District KG,34.178892,-86.841887
0101020,Cullman County School District KG,34.131923,-86.869267
0101050,Dale County School District KG,31.492383,-85.563276
0101080,Daleville City School District KG,31.266701,-85.738765
0101110,Dallas County School District KG,32.333540,-87.114356
0101140,DeKalb County School District KG,34.463314,-85.812056
0101170,Decatur City School District KG,34.573039,-86.991684
0101200,Demopolis City School District KG,32.499435,-87.825006
0101230,Dothan City School District KG,31.233698,-85.406823
0101260,Elba City School District KG,31.429429,-86.107848
0101290,Elmore County School District KG,32.602759,-86.185308
0101320,Enterprise City School District KG,31.328476,-85.844323
0101350,Escambia County School District KG,31.121747,-87.168429
0101380,Etowah County School District KG,34.115930,-85.896072
0101410,Eufaula City School District KG,31.910041,-85.152556
0101440,Fairfield City School District KG,33.474715,-86.919339
0101470,Fayette County School District KG,33.708924,-87.740978
0101530,Florence City School District KG,34.830349,-87.666096
0101560,Fort Payne City School District KG,34.454993,-85.695309
0101590,Franklin County School District KG,34.441988,-87.842815
0101620,Gadsden City School District KG,34.009563,-86.015643
0101640,Geneva City School District KG,31.045213,-85.880053
0101660,Geneva County School District KG,31.146772,-85.662957
0101680,Greene County School District KG,32.844497,-87.964200
0101690,Guntersville City School District KG,34.368849,-86.252323
0101710,Hale County School District KG,32.752796,-87.623061
0101720,Haleyville City School District KG,34.211028,-87.577669
0101730,Hartselle City School District KG,34.438308,-86.941142
0101740,Henry County School District KG,31.516978,-85.239971
0101760,Homewood City School District KG,33.459024,-86.809414
0101770,Houston County School District KG,31.132817,-85.281543
0101800,Huntsville City School District KG,34.684909,-86.605697
